EntryTime,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,TP1_Hit,PnL_Points,PnL_INR
2025-09-26 13:20:00+05:30,SELL_PE,24800,86.5,2025-09-26 13:50:00+05:30,111.42,SL Hit,111.42,False,-24.92,-1869.0
2025-09-29 13:00:00+05:30,BUY_CE,24750,43.25,2025-09-29 13:40:00+05:30,56.25,SL Hit,56.25,True,13.0,975.0
2025-09-29 14:40:00+05:30,SELL_PE,24750,79.85,2025-09-29 14:40:00+05:30,66.85,SL Hit,66.85,True,13.0,975.0
2025-09-30 09:20:00+05:30,BUY_CE,24700,59.8,2025-09-30 09:20:00+05:30,72.8,SL Hit,72.8,True,13.0,975.0
2025-09-30 09:40:00+05:30,SELL_PE,24700,76.3,2025-09-30 10:00:00+05:30,63.3,SL Hit,63.3,True,13.0,975.0
2025-09-30 11:00:00+05:30,BUY_CE,24700,32.75,2025-09-30 14:15:00+05:30,3.19,SL Hit,3.19,False,-29.56,-2217.0
2025-09-30 14:40:00+05:30,BUY_CE,24700,3.4,2025-09-30 15:25:00+05:30,0.05,EOD Exit,-29.51,False,-3.35,-251.25
2025-10-01 14:05:00+05:30,BUY_CE,24600,280.25,2025-10-01 15:05:00+05:30,293.25,SL Hit,293.25,True,13.0,975.0
2025-10-03 10:30:00+05:30,BUY_CE,24750,139.0,2025-10-03 12:15:00+05:30,152.0,SL Hit,152.0,True,13.0,975.0
2025-10-03 12:30:00+05:30,SELL_PE,24750,48.4,2025-10-03 14:35:00+05:30,27.6,MACD/EMA Exit,35.4,True,20.8,1560.0
2025-10-06 12:55:00+05:30,BUY_CE,24900,166.05,2025-10-06 13:50:00+05:30,201.2,MACD/EMA Exit,179.05,True,35.15,2636.25
2025-10-07 09:20:00+05:30,BUY_CE,25100,51.2,2025-10-07 10:30:00+05:30,100.65,MACD/EMA Exit,64.2,True,49.45,3708.75
2025-10-07 12:10:00+05:30,BUY_CE,25100,72.85,2025-10-07 14:15:00+05:30,107.15,MACD/EMA Exit,85.85,True,34.3,2572.5
2025-10-08 09:20:00+05:30,BUY_CE,25100,177.85,2025-10-08 10:30:00+05:30,134.77,SL Hit,134.77,False,-43.08,-3231.0
2025-10-08 14:05:00+05:30,SELL_PE,25100,101.2,2025-10-08 14:05:00+05:30,88.2,SL Hit,88.2,True,13.0,975.0
2025-10-09 09:20:00+05:30,BUY_CE,25050,148.35,2025-10-09 11:00:00+05:30,161.35,SL Hit,161.35,True,13.0,975.0
2025-10-09 14:15:00+05:30,SELL_PE,25050,44.75,2025-10-09 15:25:00+05:30,30.1,EOD Exit,31.75,True,14.65,1098.75
2025-10-10 12:50:00+05:30,BUY_CE,25150,242.35,2025-10-10 14:15:00+05:30,217.94,SL Hit,217.94,False,-24.41,-1830.75
2025-10-14 09:15:00+05:30,BUY_CE,25300,52.3,2025-10-14 10:45:00+05:30,19.51,SL Hit,19.51,False,-32.79,-2459.25
2025-10-14 12:05:00+05:30,SELL_PE,25300,184.65,2025-10-14 12:05:00+05:30,171.65,SL Hit,171.65,True,13.0,975.0
2025-10-14 13:05:00+05:30,SELL_PE,25300,229.7,2025-10-14 13:05:00+05:30,216.7,SL Hit,216.7,True,13.0,975.0
2025-10-15 09:15:00+05:30,BUY_CE,25200,187.05,2025-10-15 11:10:00+05:30,219.0,MACD/EMA Exit,200.05,True,31.95,2396.25
2025-10-15 13:00:00+05:30,BUY_CE,25200,241.2,2025-10-15 13:15:00+05:30,254.2,SL Hit,254.2,True,13.0,975.0
2025-10-16 09:15:00+05:30,BUY_CE,25400,139.35,2025-10-16 09:55:00+05:30,152.35,SL Hit,152.35,True,13.0,975.0
2025-10-16 12:20:00+05:30,BUY_CE,25400,177.15,2025-10-16 12:45:00+05:30,190.15,SL Hit,190.15,True,13.0,975.0
2025-10-16 13:25:00+05:30,BUY_CE,25400,203.6,2025-10-16 13:50:00+05:30,216.6,SL Hit,216.6,True,13.0,975.0
2025-10-16 14:00:00+05:30,BUY_CE,25400,225.35,2025-10-16 14:15:00+05:30,238.35,SL Hit,238.35,True,13.0,975.0
2025-10-17 09:40:00+05:30,BUY_CE,25550,144.8,2025-10-17 11:40:00+05:30,254.45,MACD/EMA Exit,157.8,True,109.65,8223.75
2025-10-20 10:50:00+05:30,BUY_CE,25800,113.65,2025-10-20 12:20:00+05:30,70.38,SL Hit,70.38,False,-43.27,-3245.25
2025-10-20 12:50:00+05:30,BUY_CE,25800,100.45,2025-10-20 13:15:00+05:30,113.45,SL Hit,113.45,True,13.0,975.0
